大白菜,0.40,0.50,0.60,存储,斤,2021-03-27
大白菜,0.70,0.75,0.80,新,斤,2021-03-27
娃娃菜,0.60,0.75,0.90,大\小,斤,2021-03-27
芹菜,0.70,0.85,1.00,鲁,斤,2021-03-27
菠菜,0.60,0.90,1.20,长杆\冀,斤,2021-03-27
番茄,1.00,1.40,1.80,川鲁蒙,斤,2021-03-27
番茄（精品）,1.60,1.80,2.00,普通,斤,2021-03-27
黄瓜,1.50,1.75,2.00,蒙辽袋\鲁,斤,2021-03-27
黄瓜(鲜干花),2.60,2.90,3.20,冀,斤,2021-03-27
小黄瓜,3.80,4.90,6.00,旱\荷兰,斤,2021-03-27
茄子,1.20,1.60,2.00,鲁\冀,斤,2021-03-27
架豆,2.60,3.05,3.50,\冀,斤,2021-03-27
尖椒,1.50,2.00,2.50,冀晋/鲁新,斤,2021-03-27
柿子椒,1.40,1.85,2.30,\鲁新,斤,2021-03-27
土豆,0.60,0.80,1.00,\冀,斤,2021-03-27
新土豆,0.70,0.95,1.20,陕冀云新,斤,2021-03-27
黄葱头,0.80,1.00,1.20,\蒙甘,斤,2021-03-27
红葱头,0.90,1.10,1.30,普通,斤,2021-03-27
葱,3.50,3.75,4.00,冀/苏鲁闽,斤,2021-03-27
吊冬瓜,1.70,1.95,2.20,桂,斤,2021-03-27
